# query,time in ms,distance, total
0.0,408.00002019444446,4569.124415412138,14688.05954
1.0,408.00002019444446,2476.9868756017095,14688.05954
2.0,408.00002019444446,4184.540763178433,14688.05954
3.0,408.00002019444446,4552.180474534631,14688.05954
4.0,408.00002019444446,3349.038766668178,14688.05954
5.0,408.00002019444446,5116.391196279379,14688.05954
6.0,408.00002019444446,3699.552638931913,14688.05954
7.0,408.00002019444446,5119.996874856064,14688.05954
8.0,408.00002019444446,5080.377074339427,14688.05954
9.0,408.00002019444446,3215.468913540957,14688.05954
10.0,408.00002019444446,3910.8852777793654,14688.05954
11.0,408.00002019444446,665.8587644619147,14688.05954
12.0,408.00002019444446,5119.996874856064,14688.05954
13.0,408.00002019444446,4832.719126496464,14688.05954
14.0,408.00002019444446,3834.606316599078,14688.05954
15.0,408.00002019444446,4396.889300847019,14688.05954
16.0,408.00002019444446,5110.004961496452,14688.05954
17.0,408.00002019444446,3923.1664302619756,14688.05954
18.0,408.00002019444446,5119.988140221918,14688.05954
19.0,408.00002019444446,4839.0486122347065,14688.05954
20.0,408.00002019444446,4314.71835900849,14688.05954
21.0,408.00002019444446,4531.9166169623495,14688.05954
22.0,408.00002019444446,3937.4045158974477,14688.05954
23.0,408.00002019444446,3727.1522448864416,14688.05954
24.0,408.00002019444446,3394.5972289407073,14688.05954
25.0,408.00002019444446,2078.2422071469628,14688.05954
26.0,408.00002019444446,4887.92919599358,14688.05954
27.0,408.00002019444446,3802.4359038157854,14688.05954
28.0,408.00002019444446,4316.690101806307,14688.05954
29.0,408.00002019444446,4690.999991708435,14688.05954
30.0,408.00002019444446,3721.6664727116004,14688.05954
31.0,408.00002019444446,5119.995783026388,14688.05954
32.0,408.00002019444446,5035.386436097382,14688.05954
33.0,408.00002019444446,5119.997966685856,14688.05954
34.0,408.00002019444446,2956.720276415348,14688.05954
35.0,408.00002019444446,4441.292198674986,14688.05954
36.0,389.43216216666667,3651.0362392967218,28712.783789
37.0,389.43216216666667,4221.842631116509,28712.783789
38.0,389.43216216666667,3232.575558499433,28712.783789
39.0,389.43216216666667,4235.355000302428,28712.783789
40.0,389.43216216666667,3967.1290428674693,28712.783789
41.0,389.43216216666667,5082.8875585235655,28712.783789
42.0,389.43216216666667,4167.484984853305,28712.783789
43.0,389.43216216666667,4942.3757695117965,28712.783789
44.0,389.43216216666667,5117.171609364683,28712.783789
45.0,389.43216216666667,4435.1096159256995,28712.783789
46.0,389.43216216666667,5119.989232050779,28712.783789
47.0,389.43216216666667,3809.5026432355517,28712.783789
48.0,389.43216216666667,2832.653980702875,28712.783789
49.0,389.43216216666667,4538.702878300624,28712.783789
50.0,389.43216216666667,4227.331101481104,28712.783789
51.0,389.43216216666667,3266.3119097894523,28712.783789
52.0,389.43216216666667,3732.8070656215423,28712.783789
53.0,389.43216216666667,4313.341313246696,28712.783789
54.0,389.43216216666667,4872.5037396723055,28712.783789
55.0,389.43216216666667,3869.327945987243,28712.783789
56.0,389.43216216666667,3979.226679544445,28712.783789
57.0,389.43216216666667,3904.3419307564036,28712.783789
58.0,389.43216216666667,1443.8477975899732,28712.783789
59.0,389.43216216666667,4359.565792911686,28712.783789
60.0,389.43216216666667,4278.26297759288,28712.783789
61.0,389.43216216666667,4586.140131978842,28712.783789
62.0,389.43216216666667,4764.293904487044,28712.783789
63.0,389.43216216666667,3838.0176491944585,28712.783789
64.0,389.43216216666667,5119.98268107936,28712.783789
65.0,389.43216216666667,1738.127551857382,28712.783789
66.0,389.43216216666667,2842.1307332795695,28712.783789
67.0,389.43216216666667,4398.0438355356455,28712.783789
68.0,389.43216216666667,3874.4156725938083,28712.783789
69.0,389.43216216666667,5116.331166968681,28712.783789
70.0,389.43216216666667,2956.141998334846,28712.783789
71.0,389.43216216666667,4379.7076153639355,28712.783789
72.0,486.0854069642857,3768.989163767561,42328.167937
73.0,486.0854069642857,4737.215220218117,42328.167937
74.0,486.0854069642857,4418.882820461935,42328.167937
75.0,486.0854069642857,4770.642725453014,42328.167937
76.0,486.0854069642857,3636.26058946416,42328.167937
77.0,486.0854069642857,5119.171484844992,42328.167937
78.0,486.0854069642857,5119.981589251198,42328.167937
79.0,486.0854069642857,5062.573508360423,42328.167937
80.0,486.0854069642857,4333.7990812166245,42328.167937
81.0,486.0854069642857,3928.6088497804158,42328.167937
82.0,486.0854069642857,3421.6006358177547,42328.167937
83.0,486.0854069642857,2458.058564180741,42328.167937
84.0,486.0854069642857,5119.989232050779,42328.167937
85.0,486.0854069642857,2024.2945331938245,42328.167937
86.0,486.0854069642857,2687.715874990681,42328.167937
87.0,486.0854069642857,3491.5221759193228,42328.167937
88.0,486.0854069642857,4537.54133180069,42328.167937
89.0,486.0854069642857,5119.999058515765,42328.167937
90.0,486.0854069642857,5119.995783026388,42328.167937
91.0,486.0854069642857,2303.6012135464844,42328.167937
92.0,486.0854069642857,5119.993599367386,42328.167937
93.0,486.0854069642857,4775.456147346646,42328.167937
94.0,486.0854069642857,3310.993063376285,42328.167937
95.0,486.0854069642857,3947.373291015625,42328.167937
96.0,486.0854069642857,4445.350523605943,42328.167937
97.0,486.0854069642857,3306.0069701034226,42328.167937
98.0,486.0854069642857,4401.644001822511,42328.167937
99.0,486.0854069642857,4766.037143999769,42328.167937
